               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082215,            0.031483,                   0,             0.25673,             0.42484,             0.22998,            0.054288,            0.070552,            0.014038,                   0,            0.070214,           0.0033095,           0.0033095
                   1,            0.056285,            0.022839,                   0,             0.48254,             0.64052,             0.52946,             0.22926,            0.049231,            0.012553,                   0,             0.04005,           0.0064784,           0.0064784
                   2,            0.050821,            0.018778,                   0,             0.59481,             0.63324,             0.65556,             0.25718,            0.046894,            0.011634,                   0,           0.0097205,           0.0094824,           0.0094824
                   3,            0.045105,            0.017589,                   0,             0.70183,             0.76471,              0.7723,             0.35772,            0.041984,            0.011551,                   0,           0.0092575,           0.0092575,           0.0092575
                   4,            0.040918,            0.016597,                   0,             0.75972,             0.68627,             0.73852,             0.35323,            0.040746,            0.011904,                   0,           0.0092575,           0.0092575,           0.0092575
                   5,            0.038865,            0.016529,                   0,             0.67419,             0.70588,              0.6749,             0.28943,            0.043389,            0.013283,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.037161,             0.01595,                   0,             0.74159,             0.73152,             0.78636,              0.3514,            0.040883,            0.012264,                   0,           0.0087625,           0.0087625,           0.0087625
                   7,            0.035484,            0.015374,                   0,             0.75162,             0.77778,              0.8123,             0.43271,            0.037137,            0.011577,                   0,            0.008515,            0.008515,            0.008515
                   8,            0.034376,            0.014733,                   0,             0.83262,             0.78033,             0.83661,             0.42032,            0.036737,            0.011192,                   0,           0.0082675,           0.0082675,           0.0082675
                   9,            0.032462,            0.014538,                   0,             0.84156,             0.66013,              0.8142,             0.42301,            0.037694,            0.011032,                   0,             0.00802,             0.00802,             0.00802
                  10,            0.032468,            0.013863,                   0,             0.89331,             0.76617,             0.84473,             0.45191,            0.035046,            0.011326,                   0,           0.0077725,           0.0077725,           0.0077725
                  11,            0.031309,            0.013866,                   0,             0.85949,              0.7596,             0.85045,             0.45884,            0.035599,            0.011067,                   0,            0.007525,            0.007525,            0.007525
                  12,            0.030202,            0.013381,                   0,              0.8595,             0.77124,              0.8374,             0.42988,            0.036532,            0.011767,                   0,           0.0072775,           0.0072775,           0.0072775
                  13,            0.029046,            0.012874,                   0,             0.84528,             0.78431,             0.85679,             0.46333,            0.034863,            0.011375,                   0,             0.00703,             0.00703,             0.00703
                  14,            0.028999,            0.013024,                   0,             0.86679,             0.78431,             0.87012,             0.47023,            0.035091,            0.011407,                   0,           0.0067825,           0.0067825,           0.0067825
                  15,            0.028203,            0.012766,                   0,             0.84445,             0.86275,             0.89498,             0.49524,            0.033889,            0.010814,                   0,            0.006535,            0.006535,            0.006535
                  16,            0.027118,            0.012152,                   0,             0.83203,             0.84967,              0.8715,             0.49573,            0.034296,            0.010839,                   0,           0.0062875,           0.0062875,           0.0062875
                  17,            0.026849,            0.012749,                   0,             0.82464,             0.81046,             0.86066,             0.48098,            0.034797,            0.011607,                   0,             0.00604,             0.00604,             0.00604
                  18,            0.026422,            0.011858,                   0,             0.79783,             0.87582,             0.87623,             0.46918,            0.034902,             0.01128,                   0,           0.0057925,           0.0057925,           0.0057925
                  19,             0.02557,            0.011814,                   0,             0.79239,             0.84817,             0.85822,             0.46624,            0.035554,            0.011327,                   0,            0.005545,            0.005545,            0.005545
                  20,            0.024794,            0.011415,                   0,             0.86133,             0.81699,              0.8781,             0.50041,            0.033363,            0.011395,                   0,           0.0052975,           0.0052975,           0.0052975
                  21,            0.024448,             0.01143,                   0,             0.82397,             0.88721,             0.89735,             0.50896,            0.033052,             0.01081,                   0,             0.00505,             0.00505,             0.00505
                  22,              0.0246,            0.011155,                   0,              0.8551,             0.84853,             0.87526,             0.48162,            0.034815,            0.011436,                   0,           0.0048025,           0.0048025,           0.0048025
                  23,            0.023421,            0.011122,                   0,             0.90383,             0.79855,             0.87131,             0.49672,            0.033735,            0.011549,                   0,            0.004555,            0.004555,            0.004555
                  24,            0.022833,            0.011062,                   0,             0.88297,             0.79085,             0.86551,             0.45145,            0.036011,             0.01202,                   0,           0.0043075,           0.0043075,           0.0043075
                  25,            0.022886,            0.010706,                   0,             0.87925,             0.79085,             0.85841,             0.45473,            0.036348,            0.012547,                   0,             0.00406,             0.00406,             0.00406
                  26,            0.022464,            0.010298,                   0,             0.86065,             0.84771,             0.88822,             0.49715,            0.033636,            0.011855,                   0,           0.0038125,           0.0038125,           0.0038125
                  27,            0.021903,            0.010136,                   0,             0.87292,             0.85304,             0.89944,             0.50225,            0.033704,            0.011735,                   0,            0.003565,            0.003565,            0.003565
                  28,            0.021698,            0.010345,                   0,             0.84376,             0.84967,             0.87134,              0.4837,            0.033914,            0.012113,                   0,           0.0033175,           0.0033175,           0.0033175
                  29,            0.021419,            0.010142,                   0,             0.87261,             0.83007,               0.882,              0.5007,             0.03404,            0.012372,                   0,             0.00307,             0.00307,             0.00307
                  30,            0.020783,           0.0098668,                   0,             0.87457,             0.86275,             0.87466,             0.50903,            0.032561,             0.01185,                   0,           0.0028225,           0.0028225,           0.0028225
                  31,            0.020275,           0.0097398,                   0,             0.86222,              0.8366,             0.87136,             0.51534,            0.032851,            0.011723,                   0,            0.002575,            0.002575,            0.002575
                  32,            0.019977,           0.0093877,                   0,             0.86515,             0.83007,             0.86718,             0.49943,            0.034152,            0.011904,                   0,           0.0023275,           0.0023275,           0.0023275
                  33,            0.019849,           0.0095217,                   0,             0.89455,             0.86275,             0.89227,             0.51521,            0.033607,            0.011554,                   0,             0.00208,             0.00208,             0.00208
                  34,            0.019234,           0.0092632,                   0,                 0.9,              0.8366,             0.89073,             0.52572,            0.032882,             0.01207,                   0,           0.0018325,           0.0018325,           0.0018325
                  35,            0.018961,            0.009241,                   0,               0.901,             0.83276,             0.87632,             0.53143,            0.032543,            0.011804,                   0,            0.001585,            0.001585,            0.001585
                  36,            0.018673,           0.0089452,                   0,             0.87737,              0.8417,              0.8707,             0.50684,            0.033115,            0.012076,                   0,           0.0013375,           0.0013375,           0.0013375
                  37,            0.018027,           0.0087285,                   0,             0.90708,             0.84967,             0.88724,             0.52015,             0.03219,            0.012073,                   0,             0.00109,             0.00109,             0.00109
                  38,            0.017877,           0.0089248,                   0,              0.8704,             0.84967,             0.88227,             0.53194,            0.031899,            0.012077,                   0,           0.0008425,           0.0008425,           0.0008425
                  39,            0.017894,             0.00861,                   0,             0.86301,             0.84967,             0.88632,             0.53368,             0.03207,             0.01238,                   0,            0.000595,            0.000595,            0.000595
